Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Luis Perdomo,2019,0.1057,0.7534,0.1478,0.03,0.1313,0.7388
Clayton Kershaw,2016,0.2065,0.6292,0.0164,-0.0047,0.175,0.4342
Clayton Kershaw,2017,0.2563,0.7267,-0.001,-0.0195,0.2959,0.5936
Clayton Kershaw,2018,0.2643,0.8056,-0.0273,-0.0344,0.3225,0.724
Clayton Kershaw,2019,0.2284,0.7801,-0.0382,-0.0369,0.3022,0.7058
Ryan Buchter,2016,0.5327,0.7033,0.3991,0.0743,0.19,0.9961
Ryan Buchter,2017,0.5041,0.6574,0.4721,0.0782,0.1707,0.999
Ryan Buchter,2018,0.5027,0.6651,0.4462,0.0714,0.1671,0.988
Ryan Buchter,2019,0.5115,0.6893,0.4078,0.0931,0.1697,0.9461
Zack Britton,2016,0.4281,0.7957,-0.4843,-0.2083,0.2024,0.9845
Zack Britton,2017,0.6565,0.8753,-0.3818,-0.071,0.2281,1.1123
Zack Britton,2018,0.6304,0.8454,-0.4297,-0.1118,0.2148,1.0851
Zack Britton,2019,0.1764,0.8153,-0.9084,-0.1419,0.077,1.0668
Kevin Jepsen,2017,0.2776,0.6862,0.174,0.0298,0.1485,0.6281
Kevin Jepsen,2019,0.2278,0.6716,0.1693,0.0309,0.1267,0.6401
Trevor May,2017,0.5365,0.7231,0.1578,0.0452,0.2674,0.7227
Trevor May,2018,0.4142,0.7405,0.1449,0.0614,0.2107,0.7001
Trevor May,2019,0.1308,0.6651,0.1817,0.0622,0.0872,0.6017
Darren O'Day,2016,0.058,0.6758,-0.2788,-0.0795,0.0583,0.6645
Darren O'Day,2017,0.3453,0.6896,-0.1964,-0.0363,0.1318,0.7575
Darren O'Day,2018,0.3612,0.6761,-0.1872,-0.0556,0.1323,0.7173
Darren O'Day,2019,0.374,0.6729,-0.1843,-0.0534,0.1284,0.7217
Brad Brach,2016,0.2965,0.5884,0.1301,0.0318,0.1027,0.6238
Brad Brach,2017,0.3665,0.663,0.1575,0.0291,0.1252,0.6538
Brad Brach,2018,0.3366,0.668,0.1423,0.039,0.1236,0.6276
Brad Brach,2019,0.2832,0.6715,0.1446,0.0427,0.116,0.631
Mychal Givens,2016,0.4584,0.7119,0.1945,0.0345,0.1932,0.8014
Mychal Givens,2017,0.4628,0.7226,0.2319,0.0434,0.1724,0.7971
Mychal Givens,2018,0.4264,0.7022,0.2739,0.0528,0.1541,0.7729
Mychal Givens,2019,0.3804,0.6745,0.2729,0.0523,0.1462,0.7584
Fernando Abad,2016,0.2341,0.2886,0.0885,0.1013,0.0608,0.4019
Fernando Abad,2018,0.2861,0.3555,0.0472,0.079,0.0825,0.4253
Fernando Abad,2019,0.2841,0.4255,0.0489,0.0711,0.0939,0.5262
Tyler Wilson,2016,0.3847,0.6491,0.1474,0.0707,0.241,0.6319
Tyler Wilson,2019,0.7163,0.6969,0.1485,0.0391,0.3328,0.8848
Casey Fien,2016,0.3979,0.6362,0.0272,0.0134,0.1933,0.6577
Casey Fien,2019,0.3473,0.6632,0.0052,0.0023,0.1664,0.6698
Ryan Pressly,2016,0.305,0.7056,0.1017,0.0323,0.1504,0.7333
Ryan Pressly,2017,0.3512,0.6472,0.0811,0.0365,0.1513,0.7038
Ryan Pressly,2018,0.3571,0.7048,0.0419,0.0138,0.1515,0.7443
Ryan Pressly,2019,0.3188,0.7406,-0.0068,-0.0018,0.1466,0.7736
Chris Tillman,2016,0.3666,0.8623,0.0734,0.0189,0.242,0.7126
Chris Tillman,2017,0.2062,0.842,0.0612,0.0087,0.1398,0.6453
Chris Tillman,2019,0.1961,0.7699,0.0468,0.0076,0.1473,0.6348
Ervin Santana,2016,0.2296,0.6275,0.041,-0.0209,0.2484,0.6336
Ervin Santana,2017,0.2652,0.6738,0.0365,-0.0039,0.2884,0.6637
Ervin Santana,2019,0.2934,0.6783,0.0344,-0.0056,0.295,0.6772
Wade Davis,2016,0.0973,0.4037,0.492,0.2967,0.0572,0.4771
Wade Davis,2017,0.2342,0.3797,0.4342,0.2274,0.0953,0.5492
Wade Davis,2018,0.2789,0.3997,0.4196,0.2412,0.1025,0.5332
Wade Davis,2019,0.3032,0.398,0.4204,0.2393,0.1075,0.5423
Luke Hochevar,2019,0.2488,0.5859,0.3852,0.1634,0.1069,0.6215
Joakim Soria,2016,0.1225,0.5147,0.2122,0.0855,0.1105,0.5706
Joakim Soria,2017,0.3275,0.6669,0.1281,0.017,0.1551,0.7287
Joakim Soria,2018,0.3282,0.6623,0.1537,0.025,0.1468,0.6943
Joakim Soria,2019,0.3363,0.6548,0.1693,0.0314,0.1485,0.7153
Jerry Blevins,2016,0.3751,0.7872,-0.3356,-0.3255,0.2194,0.8537
Jerry Blevins,2017,0.7485,0.8735,-0.0921,-0.076,0.2588,1.0626
Jerry Blevins,2018,0.7484,0.8738,-0.0615,-0.0949,0.2611,1.0196
Jerry Blevins,2019,0.7413,0.8568,-0.0761,-0.0751,0.2556,1.0145
Bartolo Colon,2016,0.3105,0.6649,0.749,0.1673,0.1345,0.7574
Bartolo Colon,2017,0.3667,0.7055,0.6172,0.2302,0.1909,0.6687
Bartolo Colon,2019,0.3364,0.7444,0.5761,0.1971,0.2001,0.6949
Kelvin Herrera,2016,0.334,0.6503,0.1428,0.0293,0.1174,0.7989
Kelvin Herrera,2017,0.384,0.7337,0.1947,0.0259,0.1465,0.8919
Kelvin Herrera,2018,0.3164,0.6886,0.1979,0.0458,0.1283,0.8262
Kelvin Herrera,2019,0.2776,0.6799,0.2163,0.0561,0.1292,0.7778
Edinson Volquez,2016,0.6403,0.78,-0.5349,-0.161,0.3321,0.8219
Edinson Volquez,2018,0.6765,0.8323,-0.5215,-0.0904,0.3289,0.9014
Edinson Volquez,2019,0.5592,0.8153,-0.6107,-0.0995,0.2464,0.928
